title,artist,link
Seated Male Nude (1956),James Robertson,art/record/21245?highlight=*:*
The Idea (1991),Karen Guthrie,art/record/21907?highlight=*:*
Extrude (2013),Charlotte Roseberry,art/record/21302?highlight=*:*
Portrait of a Boy (1955),Peter McGinn,art/record/21219?highlight=*:*
Seated Nude at Washbasin (1963),Kathleen B. Russell,art/record/122786?highlight=*:*
Untitled (Unknown),Marjorie Ann,art/record/99907?highlight=*:*
Untitled - Drawing of a Man Wearing a Hat (1967),Isobel T Johnstone,art/record/99253?highlight=*:*
Still Life with Shadow of Kettle (1966),James H. Fairgrieve,art/record/22734?highlight=*:*
Singer (JAN 1987),Paul Rooney,art/record/21841?highlight=*:*
Seated Female Nude wearing Floral Hat (1962),June M. Morgan,art/record/99354?highlight=*:*
Untitled (1994),Sara Ogilvie,art/record/21961?highlight=*:*
Bearded Man Sitting (Circa 1973),Catherine A. MacLean,art/record/22621?highlight=*:*
Untitled (Unknown),Unknown,art/record/99960?highlight=*:*
Colourful Landscape with Monoliths (1959),Jacqueline A N Stieger,art/record/20824?highlight=*:*
Untitled (2003),Robin Kukiel,art/record/99932?highlight=*:*
Woodland #4 (2007),Asbjorn Hollerud,art/record/99898?highlight=*:*
Untitled (Unknown),Margaret Clyde,art/record/21628?highlight=*:*
Female Nude (1924),Henry Moore,art/record/53472?highlight=*:*
Cow,Emma Gillies,art/record/53757?highlight=*:*
Standing Woman,John Bellany,art/record/20766?highlight=*:*
Untitled - Bird Cage (1965-1966),Norman Orr,art/record/99407?highlight=*:*
Back of Woman wearing Long Dress with Bustle (1955-1956),Jacqueline A N Stieger,art/record/20822?highlight=*:*
Untitled (1954),Ian Hodkinson,art/record/111041?highlight=*:*
Riders: Parthenon Frieze (1836-1837),NA,art/record/20706?highlight=*:*
Hairy Veg (2016),Eden Hawkins,art/record/99266?highlight=*:*
Untitled (Unknown),Unknown,art/record/21853?highlight=*:*
Self Portrait,Claudia Petretti,art/record/122706?highlight=*:*
Ravenscraig Castle (1953),Ian J. D. Short,art/record/122775?highlight=*:*
Embroidered cloth,Winsome Douglass,art/record/113836?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,art/record/20718?highlight=*:*
Unknown (1947),Thomas M. B. Watt,art/record/50575?highlight=*:*
Cotton Wool Brain (2019),Zuzana Ullmannová,art/record/113744?highlight=*:*
Portrait of a Man (1959),Alan Kemp,art/record/20902?highlight=*:*
"Temple Cottage, Temple, View of Garden",Sir William George Gillies,art/record/99221?highlight=*:*
Lepidopterists (1951),Valerie A. Cockburn (Gage),art/record/122822?highlight=*:*
Harbour (1953-1954),Alistair M Park,art/record/21348?highlight=*:*
Venice (1951),Sax Shaw,art/record/99849?highlight=*:*
Lamb (1920s),Emma Gillies,art/record/122126?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),NA,art/record/20670?highlight=*:*
Seated Female Nude with Striped Floor Drape,Unknown,art/record/22642?highlight=*:*
Gem cabinet 5 (of 6) containing 43 medallions,Unknown,art/record/20619?highlight=*:*
Unknown (Unknown),Unknown,art/record/21857?highlight=*:*
Standing Man with Scythe,John Houston,art/record/20770?highlight=*:*
Reclining Female Nude (1957),Duncan Thomson,art/record/21104?highlight=*:*
Portrait of a Man (1959),Campbell,art/record/20971?highlight=*:*
Untitled,NA,art/record/112505?highlight=*:*
Unknown (1950),Marion M Cooper,art/record/50392?highlight=*:*
Mountainous Landscape (Circa 1974),Peter Wheeler,art/record/122813?highlight=*:*
Reclining Male Nude (1949),Zygmunt Bukowski,art/record/21324?highlight=*:*
Vilnius Academy of Fine Arts,Unknown,art/record/99853?highlight=*:*
Portrait of a Man (1950),Katherine B K Burns,art/record/21390?highlight=*:*
Hare (1920s),Emma Gillies,art/record/122127?highlight=*:*
Craigleith Island July '92 (1992),Delia M Surplice,art/record/99415?highlight=*:*
Tskihrva (Unknown),Boris Bućan,art/record/22043?highlight=*:*
Plate,Emma Gillies,art/record/53721?highlight=*:*
Unknown (1949),Douglas Baxter,art/record/50577?highlight=*:*
Legless Graham (Unknown),Jennifer Blake,art/record/21997?highlight=*:*
Portrait of a Woman (1949),Leszek Muszynski,art/record/21076?highlight=*:*
Distortion 2 (2014),Ainsley Francis,art/record/47453?highlight=*:*
Unknown (1960),Denness Morton,art/record/53547?highlight=*:*
Grooms and Riders from North Frieze of the Parthenon (1836-1837),NA,art/record/20712?highlight=*:*
Unknown (1984-1985),Olivia Irvine,art/record/53563?highlight=*:*
Unknown,Duncan Currie,art/record/50389?highlight=*:*
Sky with Floating Kites (Circa 1968),Charles Ian Patterson,art/record/22588?highlight=*:*
Four way / Exchange Portfolio (Unknown),Unknown,art/record/99854?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,art/record/20724?highlight=*:*
Untitled - Street Scene (1960),Frederick C White,art/record/99453?highlight=*:*
Theatrical Performance,Robert Maclaurin,art/record/21513?highlight=*:*
Champagne (1993),Robert I Montgomery,art/record/99416?highlight=*:*
Standing Male Nude (1960),Thomas T Robertson,art/record/20806?highlight=*:*
Portrait of a Woman (1952),W Baxter,art/record/21205?highlight=*:*
Unknown,Unknown,art/record/53509?highlight=*:*
Seated Female Nude on Yellow Spread (Circa 1950),Thomas E. Clapperton,art/record/122747?highlight=*:*
Portrait of a Man (1953),Ian J. D. Short,art/record/22695?highlight=*:*
Grey Cover,Unknown,art/record/22633?highlight=*:*
"In ""Head"" 73 (1973)",Gavin Robson,art/record/99404?highlight=*:*
Chinese sleeveband. Figures,Unknown,art/record/102700?highlight=*:*
Untitled (1966),Maureen Dawson,art/record/99845?highlight=*:*
Man and Cauldron (1950),Alfred Hackney,art/record/21029?highlight=*:*
"The Beach, Summer Composition (1958)",Robert M E Callender,art/record/22590?highlight=*:*
Grey Still Life (1948),Thomas M. B. Watt,art/record/22653?highlight=*:*
Unknown (1950),Thomas Clapperton,art/record/50562?highlight=*:*
Untitled - Nude Woman in Red Reclining on a Red Couch (1963),Meriel A W de C Acton,art/record/99476?highlight=*:*
Teacup,Emma Gillies,art/record/53645?highlight=*:*
Woman (1966),James H. Fairgrieve,art/record/22617?highlight=*:*
Untitled - Semi-Nude Woman Combing Her Hair (1961-1962),Ann F Ward,art/record/99353?highlight=*:*
Untitled (1962),Carl O Ekevall,art/record/99497?highlight=*:*
Human Skeleton and Fruit (1958-1959),Peter Standen,art/record/20792?highlight=*:*
My Friend Jackie,Claudia Petretti,art/record/122738?highlight=*:*
"Venus de Milo, 130-10 BC",Unknown,art/record/20592?highlight=*:*
Untitled - Standing Nude Female (1963-1964),Irene G. Thomson,art/record/99419?highlight=*:*
Standing Female Nude (1955),Peter McGinn,art/record/122728?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,art/record/20731?highlight=*:*
Untitled (2002),Sarah Sanford,art/record/99954?highlight=*:*
Wildflowers and Butterfly (Circa 1954),John P Busby,art/record/22627?highlight=*:*
Untitled (1969),Richard Easson,art/record/99830?highlight=*:*
Bearded Goat,Emma Gillies,art/record/53755?highlight=*:*
Teacup,Emma Gillies,art/record/53653?highlight=*:*
Untitled (1989),Karen Guthrie,art/record/21886?highlight=*:*
Obstacle - Exploded Drawing (2014),Charles Myatt,art/record/47456?highlight=*:*
Limits (2014),Phoebe Mitchell,art/record/54759?highlight=*:*
Discophoros,Unknown,art/record/20589?highlight=*:*
Powderhall (1994),Jane Weatherly,art/record/123108?highlight=*:*
Untitled (2004),Shona Van Dam,art/record/21791?highlight=*:*
Unknown (1956),Alan M. Alexander,art/record/50597?highlight=*:*
Untitled (1963),John Milligan,art/record/99355?highlight=*:*
Untitled (2006),Amelia Smith,art/record/99863?highlight=*:*
Boats and Collies (1929),Ernest S. Lumsden,art/record/21751?highlight=*:*
Unknown (1950),Alexander Cree,art/record/50544?highlight=*:*
Jug,Emma Gillies,art/record/122134?highlight=*:*
Fragment of ornament (arch springing),Unknown,art/record/20566?highlight=*:*
Seated Male Nude (1959),Violet Thomson,art/record/21146?highlight=*:*
Untitled (1990-1991),Anne Weddell,art/record/21977?highlight=*:*
Opuntia Basilaris Engelmann and Bigelow 1856 (1993-1994),Jane Watt,art/record/99458?highlight=*:*
Portrait of a Woman (1960),John Johnstone,art/record/21356?highlight=*:*
Standing Male Nude (1952),Adam Robson,art/record/20809?highlight=*:*
Seated Man on White Chair (1989),Claire E. Banks,art/record/22555?highlight=*:*
Seated Male Nude (1958),Peter Standen,art/record/20862?highlight=*:*
Man with Spring Plants (1953),Leonard Baskin,art/record/21687?highlight=*:*
Blackwork' sampler. Miss Waddel,Miss Waddell,art/record/102670?highlight=*:*
Profile of Seated Male Nude (1959),Denness Morton,art/record/20888?highlight=*:*
Unknown (1952),George Roderick Carmichael,art/record/50568?highlight=*:*
Standing Female Nude in Bathroom (1953),Ian West,art/record/20989?highlight=*:*
Untitled (1986),Sylvia Cameron,art/record/21716?highlight=*:*
The Kennelmen's Lunch Hour (1951),Maureen Baird,art/record/122806?highlight=*:*
Untitled (1968),Michael Jannarelli,art/record/22505?highlight=*:*
Reclining Male Nude (1958),Rosemary Wright,art/record/20860?highlight=*:*
Unknown (1949),Betty Elston,art/record/50581?highlight=*:*
Untitled (1963),Alison Keith,art/record/22007?highlight=*:*
Untitled (2007),Vikki Hill,art/record/99966?highlight=*:*
Untitled (Unknown),Donald Clark,art/record/21636?highlight=*:*
Teapot,Emma Gillies,art/record/122550?highlight=*:*
Unknown (1950),Francis Curran,art/record/50505?highlight=*:*
Reclining Female Nude with Fans (1947),Sheena Page,art/record/122898?highlight=*:*
Untitled (Unknown),Unknown,art/record/21916?highlight=*:*
Interior Scene,Sigrid Gordon,art/record/21462?highlight=*:*
Seated Nude Woman (1951),James P W Syme,art/record/22513?highlight=*:*
Shell-Shapes (1989),Dorothy Black,art/record/21973?highlight=*:*
Trafalgar Square (1963),Unknown,art/record/21773?highlight=*:*
Unknown (Circa 1890),Unknown,art/record/50460?highlight=*:*
Espresso Saucer,Emma Gillies,art/record/53688?highlight=*:*
Late-night (Circa 1959),John Boyle,art/record/21335?highlight=*:*
Untitled,Anne Waterhouse,art/record/112342?highlight=*:*
Face Value (2007),Annette Kierulf,art/record/99902?highlight=*:*
Portrait Male (1975),Andrew J. Neil,art/record/22726?highlight=*:*
History of a Medium (1971),"Eduardo Luigi Paolozzi KBE, RA",art/record/21696?highlight=*:*
Standing Male Nude (1930-1931),Thomas Pow,art/record/21126?highlight=*:*
Blue Waterfall,Andrew Mackenzie,art/record/20751?highlight=*:*
Portrait of a Woman in a Headdress,Adam Bruce Thomson,art/record/20828?highlight=*:*
Pink Nude Study*,Elsie Blomgren,art/record/122831?highlight=*:*
Sugar Bowl with Spoon,Janet Gillies,art/record/122545?highlight=*:*
Unknown (1994),Esther Tacke,art/record/21914?highlight=*:*
Unknown,Unknown,art/record/53553?highlight=*:*
Treasure on a Loch,John Brown,art/record/22603?highlight=*:*
Figure in Rocky Landscape at Sunset (1964),James Goodall,art/record/122842?highlight=*:*
Reflections on métro at 7.15 am (1963),Ann F Ward,art/record/99339?highlight=*:*
Unknown,Linda Hennker,art/record/50375?highlight=*:*
Saucer,Emma Gillies,art/record/53657?highlight=*:*
Cap insert (1800-1899),Unknown,art/record/102709?highlight=*:*
Still Life with Apples (Circa 1966),Jean E. Selby,art/record/122764?highlight=*:*
Dying Gaul (1822),Unknown,art/record/20597?highlight=*:*
Blue and Black Grid,Joan E. Smith,art/record/22550?highlight=*:*
Untitled,John Nichol,art/record/112448?highlight=*:*
Standing Female Nude (1957),D G Seymour,art/record/20963?highlight=*:*
Udder Hand (2016),Eden Hawkins,art/record/99265?highlight=*:*
Unknown,Unknown,art/record/53602?highlight=*:*
Portrait of a Man (Circa 1963),Ruth M. L. Walker,art/record/122900?highlight=*:*
Still Life with Two Birds (1975),Kenneth W. Bushe,art/record/22635?highlight=*:*
Untitled - Woodland Fantasy in Green (1963),Jean M. Marshall,art/record/99362?highlight=*:*
1st State (Unknown),Euan Gray,art/record/21951?highlight=*:*
Untitled (Sucker Darts) (2016),James Howden,art/record/113746?highlight=*:*
Untitled - Life Drawing of Woman Reclining on a Bed (1967),Isobel T Johnstone,art/record/99249?highlight=*:*
Untitled,Kirkland Main,art/record/99987?highlight=*:*
Abstracted Guitar Player (1960),Denness Morton,art/record/21082?highlight=*:*
Untited (1986),Paul Furneaux,art/record/21611?highlight=*:*
Untitled (1946),Dorothy M. Peach,art/record/21738?highlight=*:*
Portrait of a Woman Wearing a Hat (1951),Alexandra Bennett,art/record/21232?highlight=*:*
Standing Male Nude,John Houston,art/record/21047?highlight=*:*
Untitled (Unknown),Sabine R,art/record/21640?highlight=*:*
Goat,Emma Gillies,art/record/53746?highlight=*:*
Female Nude Seated on a Chair (1953),Margaret Ronald,art/record/20950?highlight=*:*
Male Nude at Wash Bowl (recto) (1946),Unknown,art/record/22649?highlight=*:*
Teacup,Emma Gillies,art/record/53650?highlight=*:*
The Boundary of Balance (2019),Dong Ding,art/record/113743?highlight=*:*
View of Edinburgh (Balmoral Hotel),R Urgolini (?),art/record/21499?highlight=*:*
Standing Male Nude with Stick (1958),Lesley Crawford,art/record/21110?highlight=*:*
Portrait of a Seated Man in Uniform (1955),James Robertson,art/record/20805?highlight=*:*
Saucer,Emma Gillies,art/record/53630?highlight=*:*
Untitled (1961),Norma Kirk,art/record/22011?highlight=*:*
Untitled,David C Duke,art/record/22574?highlight=*:*
Unknown (1957),Peter Coyle,art/record/50512?highlight=*:*
"Unknown, Abstract",Paresh Chandra Chakraborty,art/record/99485?highlight=*:*
Untitled - Figure Drawing of A Woman with Pig Tails (1965),Gordon Bryce,art/record/99281?highlight=*:*
Teacup,Emma Gillies,art/record/53652?highlight=*:*
Portrait of a Woman (1955),Edith Duke,art/record/21218?highlight=*:*
(2003),Unknown,art/record/99930?highlight=*:*
Untitled (1999),Kate Baker,art/record/21882?highlight=*:*
Untitled (1968),Alistair Bell,art/record/99378?highlight=*:*
Standing Male Nude (1950),Cecile E M Johnston,art/record/21026?highlight=*:*
Untitled (Unknown),Annabel Keatley,art/record/21609?highlight=*:*
Two Men in a Country Landscape (1952),James P W Syme,art/record/22717?highlight=*:*
For They Shall See God (2006),Jennifer M. Hughes,art/record/99881?highlight=*:*
Vase (1920s),Emma Gillies,art/record/122136?highlight=*:*
Sketch for Final Composition,Colin Brown,art/record/53566?highlight=*:*
Unknown (1965),McLeod,art/record/53594?highlight=*:*
Untitled (1947),Sheila Turnbull,art/record/111032?highlight=*:*
Untitled (Unknown),Unknown,art/record/21895?highlight=*:*
Portrait of a Woman (1958),Irene M. Fotheringham,art/record/22688?highlight=*:*
Unknown,Unknown,art/record/50407?highlight=*:*
Art Magazine Ads (1988-1989),Jeff Koons,art/record/21365?highlight=*:*
Man in Night Street Scene (1987),Martin Kane,art/record/122754?highlight=*:*
Unknown (1949),Margaret Moodie,art/record/50492?highlight=*:*
A World under Your Feet/ Composition with Yellow Crosses (diptych) (1990),Alistair W. Clark,art/record/122960?highlight=*:*
Unknown (MAR 1960),John Gilbert,art/record/53492?highlight=*:*
Madonna of the Roses (2007),Rachael Cawley,art/record/99968?highlight=*:*
Head of a Woman Wearing Beads (1952),Frances Walker,art/record/20846?highlight=*:*
Red Abstract Landscape (1972),Barbara C. Mackie,art/record/122748?highlight=*:*
Untitled - Still Life with Flowers and Pitchers (1963),Helen Wishart,art/record/99452?highlight=*:*
Sweden - boats tied up at quayside (1963),Ann F Ward,art/record/99348?highlight=*:*
William Shakespeare Otelo (1983),Boris Bućan,art/record/22040?highlight=*:*
Portrait of a Man in Profile (1951),Helmut F G Petzsch,art/record/21392?highlight=*:*
Rooftops,A McIntosh,art/record/21465?highlight=*:*
Rockpools,Rosemary Reid,art/record/20762?highlight=*:*
Untitled (Unknown),Unknown,art/record/21563?highlight=*:*
Lid,Emma Gillies,art/record/122080?highlight=*:*
Sweeps and Chimney Pots (Circa 1952),Frances M. Walker,art/record/102659?highlight=*:*
Architectural Scene (1989),Joanne Leonie Milne,art/record/21451?highlight=*:*
Untitled,A. Parkinson,art/record/112501?highlight=*:*
100 Billion Suns (2012),Katie Paterson,art/record/21002?highlight=*:*
Untitled,Marjorie-Ann Ancell,art/record/21612?highlight=*:*
Fields with Haystacks (1953),Iain West,art/record/20851?highlight=*:*
Slaughter House (1959),James C. Y. Gavin,art/record/122887?highlight=*:*
Horse,Emma Gillies,art/record/53756?highlight=*:*
Untitled - Woman with Bun (1963),Iona Murray,art/record/99401?highlight=*:*
Untitled - Woman and Man (1981),Kirsty A Kirkwood,art/record/99439?highlight=*:*
East Frieze of the Parthenon Frieze (1836-1837),NA,art/record/20687?highlight=*:*
Standing Female Nude (1953),Eileen Duncan,art/record/20929?highlight=*:*
The Sofa (1950),Zygmunt Bukowski,art/record/122805?highlight=*:*
The Misadventure (1989),John Brown,art/record/99468?highlight=*:*
Male Portrait (1969),Elizabeth E. Eastmond,art/record/22690?highlight=*:*
Chinese sleeveband. waves,Unknown,art/record/102703?highlight=*:*
Seated Male Nude (1953),Ian Short,art/record/20941?highlight=*:*
Drawing of a Woman (12 NOV 1960),Sheila Percival,art/record/20991?highlight=*:*
Composition with Design Scratched in Plaster (1974),Margaret S. Clyde,art/record/122912?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,art/record/20705?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,art/record/20701?highlight=*:*
Still Life with Honesty (1962),L. Johns,art/record/122906?highlight=*:*
Portrait Figure Sitting (1952),D. Gordon Campbell,art/record/22508?highlight=*:*
Self Portrait at Table (Circa 1975),Janis A. Dougall,art/record/122882?highlight=*:*
Unknown (1965-1966),George Donald,art/record/50376?highlight=*:*
Four Standing Male Nudes (1960),Derek Shiel,art/record/20816?highlight=*:*
Unknown (1960),Robin E. Bownass,art/record/50604?highlight=*:*
Black Rock (1983),Wendy McMurdo,art/record/21592?highlight=*:*
Tennis Courts (1952),Eric Ritchie,art/record/22641?highlight=*:*
Unknown (1964),Ian Patterson,art/record/53582?highlight=*:*
Splashes on Dark (1995),Robert Eaglesham,art/record/122721?highlight=*:*
Untitled - Nude Female Lying on a Patterned Bed (1967),Kevin Maguire,art/record/99358?highlight=*:*
Portrait of Woman with Hand on her Head (1950),Ailsa Robertson,art/record/20803?highlight=*:*
Reclining Nude,Doreen Taylor,art/record/122774?highlight=*:*
Still Life with Window (1957),Alan M. Alexander,art/record/122817?highlight=*:*
Untitled (Unknown),Unknown,art/record/99945?highlight=*:*
Still Life with Stuffed Pheasant and Skull (Circa 1966),George M. Donald,art/record/122859?highlight=*:*
Lid,Emma Gillies,art/record/122073?highlight=*:*
Reclining Female Nude (1959),Jean I. Beattie,art/record/20922?highlight=*:*
Jalvation cocktail (Green) (2007),David Abbott,art/record/99888?highlight=*:*
Landscape with City in background (1958-1959),Peter Standen,art/record/20793?highlight=*:*
Offstage (1957),Alexander S Campbell,art/record/123105?highlight=*:*
Composition with Two Figures in Lime Green,Unknown,art/record/22657?highlight=*:*
Espresso Saucer,Emma Gillies,art/record/53687?highlight=*:*
Standing Male Nude (1959),Gwen Reilly,art/record/21152?highlight=*:*
Seated Female Nude (1953),Rosemary Schofield,art/record/20942?highlight=*:*
Landscape,Edith C. Duke,art/record/122871?highlight=*:*
Still Life with Bottles and Bowls (1952),Mollie E N Langlands,art/record/22720?highlight=*:*
Untitled (Unknown),Unknown,art/record/21567?highlight=*:*
Nun with Two Workmen in a Country Landscape,Unknown,art/record/22557?highlight=*:*
Saucer,Emma Gillies,art/record/53667?highlight=*:*
Untitled,Peter Pretsell,art/record/99793?highlight=*:*
Two Elements (2006),Wilhelmina Barns-Graham CBE HRSA HRSW,art/record/54750?highlight=*:*
"Lloret de Mar, Costa Brava (1958)",Joan F. Biggins,art/record/50613?highlight=*:*
Untitled (2007),Freya Cumming,art/record/99894?highlight=*:*
Standing Woman (1965),William Gillon,art/record/21315?highlight=*:*
"Marché, rue Mouffetard (1963)",Ann F Ward,art/record/99341?highlight=*:*
Reclining Nude (1953),Laura Nye,art/record/21118?highlight=*:*
Townscape in Snow (1980s),Paul Furneaux,art/record/21434?highlight=*:*
Untitled (1961),Norma Kirk,art/record/22010?highlight=*:*
Untitled,Unknown,art/record/99919?highlight=*:*
Yellow Abstract with Half People,Jim Mooney,art/record/22530?highlight=*:*
Portrait of a Man (1956),Unknown,art/record/21258?highlight=*:*
Cow in Interior (1974),Brent Miller,art/record/21680?highlight=*:*
Untitled (1966),Norman Orr,art/record/22479?highlight=*:*
Blue Mood (1986),Paul Furneaux,art/record/21576?highlight=*:*
Unknown,Unknown,art/record/50393?highlight=*:*
In''Head (1973),Catherine Freeland,art/record/112355?highlight=*:*
Industrial Landscape,Unknown,art/record/123292?highlight=*:*
Unknown,Unknown,art/record/53504?highlight=*:*
Untitled (Unknown),Anna Richardson,art/record/21937?highlight=*:*
Urban Scene,Paul J Donaldson,art/record/21446?highlight=*:*
Playground (1989),Linda Gilliard,art/record/22634?highlight=*:*
Game Birds,George Glen,art/record/53607?highlight=*:*
Untitled (Unknown),[Unknown] Black,art/record/22022?highlight=*:*
"Commercial Street, Leith (JAN 1950)",John W. Corner,art/record/50515?highlight=*:*
Orkney Totem (1980),Reinhard Behrens,art/record/21690?highlight=*:*
Made in Finland (2013),Tiina Lilja,art/record/47439?highlight=*:*
Seated Female Nude (Circa 1939),Alistair W McCheyne,art/record/21139?highlight=*:*
Untitled (2007),Emma Peacock,art/record/99889?highlight=*:*
Untitled - Portrait of an Old Man (Feb 1962),William Gillon,art/record/99480?highlight=*:*
Unknown (Unknown),Victoria C F Bernie,art/record/21783?highlight=*:*
Unknown (1960),George H McIntosh,art/record/53578?highlight=*:*
Study for Composition (1949),Alistair Smart,art/record/50477?highlight=*:*
Seated Female Nude (Circa 1948),Marion M Cooper,art/record/122868?highlight=*:*
Standing Male Nude (1958),Ian Hodkinson,art/record/20883?highlight=*:*
Untitled (Mar 1949),Allan W. Robson,art/record/21743?highlight=*:*
Unknown (1949),John Thomson,art/record/50483?highlight=*:*
Cross Section (1987),Alastair Mack,art/record/21650?highlight=*:*
Horse,Emma Gillies,art/record/53750?highlight=*:*
Cantoria (front),Unknown,art/record/20579?highlight=*:*
People with a Horse (1983),Tina Lappinen-Ritchie,art/record/122699?highlight=*:*
Untitled (1963),Madelene Galloway,art/record/22005?highlight=*:*
Male Nude in pose of Rodin's 'Thinker' (1957),Hylda M Sutcliffe,art/record/20830?highlight=*:*
Unknown (1950),Zygmunt Bukowski,art/record/53555?highlight=*:*
Standing Nude Woman (Circa 1948),Thomas Kim Redpath,art/record/122737?highlight=*:*
"Metope 7, from entablature of the Parthenon (1837)",NA,art/record/20642?highlight=*:*
Unknown (1989),Heather Macdonald,art/record/50428?highlight=*:*
Unknown,Jeffery Camp,art/record/50563?highlight=*:*
The Battle (2013),Marissa Stoffer,art/record/47445?highlight=*:*
Ashes and Diamonds (Unknown),David Freed,art/record/21654?highlight=*:*
Portrait of a Man,Robin E. Bownass,art/record/22669?highlight=*:*
Unknown (1950),Francis Curran,art/record/50506?highlight=*:*
Seated Female Nude at Washbasin (1946),Marjorie H. McLachlan,art/record/122790?highlight=*:*
"Metope 32, south entablature, Parthenon (1837)",NA,art/record/20646?highlight=*:*
Untitled (1966),Helen G. S Forde,art/record/99815?highlight=*:*
Plate (1920s),Emma Gillies,art/record/122128?highlight=*:*
Unknown (1950),Zygmunt Bukowski,art/record/53554?highlight=*:*
Unknown (1947),Mabel D. Lawford,art/record/50536?highlight=*:*
Untitled - Two Birds (1963),Norman Thom,art/record/99417?highlight=*:*
Reclining Female Nude (1954),Margaret Proudfoot,art/record/21260?highlight=*:*
Unknown (Unknown),Unknown,art/record/21547?highlight=*:*
Unknown,Muriel Davidson,art/record/53474?highlight=*:*
An Táin (1964),John B Vallely,art/record/21005?highlight=*:*
NO 6 (1952),Norman W. Anderson,art/record/50627?highlight=*:*
Blue Altarpiece (Circa 1952),Mollie E N Langlands,art/record/21016?highlight=*:*
Dutch Street Scene (1930s),Katherine Ogilvy,art/record/122804?highlight=*:*
Unknown (1950),James T. Ferguson,art/record/53500?highlight=*:*
Untitled - Life Drawing of Reclining Female in Dress (1962),Isobel T Johnstone,art/record/99251?highlight=*:*
Untitled (2007),Malin Johanson,art/record/99977?highlight=*:*
Untitled - Greenhouse (1965-1966),James B. Thomson,art/record/99448?highlight=*:*
Standing Female Nude holding Basket (25 JAN 1959),Barbara Strachan,art/record/20871?highlight=*:*
Unknown (1952),Alastair Fairweather,art/record/50422?highlight=*:*
Dish (1924),Emma Gillies,art/record/122068?highlight=*:*
Untitled (1995-1996),Arabella Harvey,art/record/21722?highlight=*:*
Three Standing Female Nudes (1957),Andrew Conkie,art/record/20926?highlight=*:*
Untitled (Unknown),David C Duke,art/record/21980?highlight=*:*
Self Portrait (1949),Alison E. H. Stuart,art/record/122762?highlight=*:*
Unknown (1960),Alan M. Alexander,art/record/50595?highlight=*:*
Portrait of a Woman (1959),William D. MacKay,art/record/22715?highlight=*:*
Portrait of a Young Man (1950),Norman Nisbet,art/record/21074?highlight=*:*
untitled (1961),James T Carlyle,art/record/21760?highlight=*:*
The Boston-Edinburgh Portfolio II (2006),Unknown,art/record/99855?highlight=*:*
Cast Study of Dead Christ from Michelangelo's 'Pieta',Leonard I. H. Gray,art/record/53485?highlight=*:*
Figure with Hanging Clothes (1971),Dorothy W. Baillie,art/record/22553?highlight=*:*
Idyll,Unknown,art/record/21200?highlight=*:*
Queen Anne apron (1700-1799),Unknown,art/record/102684?highlight=*:*
Untitled (Unknown),Unknown,art/record/99959?highlight=*:*
Espresso Cup,Emma Gillies,art/record/53702?highlight=*:*
Cantilever Ring (2013),Sally Morrison,art/record/21310?highlight=*:*
Still Life Table (Circa 1965),Roy M. W. Cameron,art/record/22616?highlight=*:*
Untitled (Unknown),Unknown,art/record/21571?highlight=*:*
125 (2015),Mark Osborne,art/record/53772?highlight=*:*
Reverse Reserve (1975),Gordon Mitchell,art/record/22522?highlight=*:*
Horses of Helios from East Pediment,NA,art/record/20635?highlight=*:*
Townscape with Mountains (1948),Mieczyslaw T. Janikowski,art/record/21422?highlight=*:*
Unknown,Ian Paterson,art/record/53548?highlight=*:*
Unknown,Unknown,art/record/53551?highlight=*:*
Standing Female Nude,Vincent Butler,art/record/21261?highlight=*:*
Street Scene with Cars (1965),Laura McPherson,art/record/99393?highlight=*:*
Untitled (1963),Leslie Allan,art/record/99383?highlight=*:*
Landscape (1987),Brian Godley,art/record/112496?highlight=*:*
Unknown (1949),Betty Elston,art/record/50584?highlight=*:*
Standing Female Nude and Stool (1960s),Catherine Beanchop/ Banchop,art/record/21269?highlight=*:*
House and Figures in a Landscape,Judith A. Heller,art/record/22578?highlight=*:*
Radio Break (2006),Chris Nau,art/record/99879?highlight=*:*
"Mountains, Arran (Unknown)",Catherine Orbach,art/record/21968?highlight=*:*
Yellow (1947),Charles D. Pulsford,art/record/122745?highlight=*:*
Unknown (1950),Katherine B K Burns,art/record/50571?highlight=*:*
Untitled - Drawing in Profile of a Sitting Woman (1980),Carolyn S Byres,art/record/99425?highlight=*:*
"fig.1 Destination, fig 2 Time - 10.35 pm (1984)",Andrew Binnie,art/record/99466?highlight=*:*
Plate,Emma Gillies,art/record/53674?highlight=*:*
Untitled (1983),Robert Rivers,art/record/99803?highlight=*:*
Standing Female Nude (1958),Jacqueline A N Stieger,art/record/122776?highlight=*:*
Still Life with Green Boots and Knotted Rope (1987),Sheila Arnot,art/record/22543?highlight=*:*
Emerging (1987),Paul Furneaux,art/record/111441?highlight=*:*
Unknown,Unknown,art/record/50406?highlight=*:*
Untitled (1960),Robert L Snowden,art/record/21543?highlight=*:*
Untitled (2006),Hannah Jasper,art/record/99856?highlight=*:*
